,job_title,company_name,area,city,country,job_type,job_state,exp_level,exp_years,job_category,skills,posted
22,Data Annotation Team Lead,Eg Insurtech,Not mentioned,Cairo,Egypt ,Full Time,Not Mentioned,Experienced,3 - 5 Yrs of Exp,IT/Software Development,English Skills Software Engineering #data Artificial Intelligence,3 days ago
23,AI Specialist,LINK Development,Not mentioned,Cairo,Egypt ,Full Time,Not Mentioned,Entry Level,1 - 5 Yrs of Exp,IT/Software Development,BI Software Engineering SQL Software Development Power BI SSRS SQL Server,1 month ago
24,Data Scientist,BBI-Consultancy,Nasr City,Cairo,Egypt ,Full Time,Not Mentioned,Experienced,4+ Yrs of Exp,IT/Software Development,Data Science Data data scientist Information Technology (IT) Mathematics Science Python,27 days ago
25,Injection intern,El Teriak Industrial Group,Not mentioned,Giza,Egypt ,Full Time,Not Mentioned,Entry Level,Engineering - Mechanical/Electrical,Engineering - Other,Engineering,25 days ago
26,Mold intern,El Teriak Industrial Group,Not mentioned,Giza,Egypt ,Full Time,Not Mentioned,Entry Level,Manufacturing/Production,Engineering - Mechanical/Electrical,,25 days ago
27,Cnc sheet metal maintenance engineer,Promech Engineering,Maadi,Cairo,Egypt ,Full Time,Not Mentioned,Experienced,3 - 5 Yrs of Exp,Manufacturing/Production,Maintenance Mechanical Engineering Metal CNC Production,4 days ago
28,Full-Stack Python Team Leader (Django/React),RDI,Dokki,Giza,Egypt ,Full Time,Not Mentioned,Experienced,5 - 8 Yrs of Exp,IT/Software Development,Django Full Stack Development Information Technology (IT) Computer Science RESTful API Microservice Architecture Database Systems,26 days ago
29,Full-Stack Team Leader (Django/React),RDI,Dokki,Giza,Egypt ,Full Time,Not Mentioned,Experienced,5 - 8 Yrs of Exp,IT/Software Development,Django Full Stack Development Information Technology (IT) Computer Science RESTful API Microservice Architecture Database Systems,27 days ago
30,Senior Backend Developer,Pioneers Now,Nasr City,Cairo,Egypt ,Full Time,Hybrid,Experienced,5+ Yrs of Exp,Business Development,backend Computer Science Design Engineering Information Technology (IT) Python Software Engineering,1 month ago
31,Junior Python Developer,RDI,Dokki,Giza,Egypt ,Full Time,Hybrid,Entry Level,1 - 3 Yrs of Exp,Business Development,Python MySQL JavaScript React Angular RESTful Django,12 days ago
32,Shop Floor Manager,Confidential,Darrasa,Cairo,Egypt ,Full Time,Hybrid,Manager,2 - 3 Yrs of Exp,Operations/Management,Management Quality Assurance Factory Management Project Management Manufacturing,14 days ago
33,Senior python backend developer.,Pioneers Now,Nasr City,Cairo,Egypt ,Full Time,Hybrid,Experienced,5 - 8 Yrs of Exp,males_only,Marketing/PR/Advertising backend Software Software Development Web Development,2 months ago
34,Senior Full Stack Engineer,USYTech,Heliopolis,Cairo,Egypt ,Full Time,Hybrid,Entry Level,1+ Yrs of Exp,IT/Software Development,Development Information Technology (IT) Software Development Web Development JavaScript React Ruby,13 days ago
35,Shift Electrical Engineer,City Glass,10th of Ramadan City,Cairo,Egypt ,Full Time,Hybrid,Experienced,5 - 7 Yrs of Exp,males_only,Classic control Control Electrical Maintenance Electrical Engineering PLC,1 month ago
36,Data/Artificial Intelligence Sr. Consultant,Exco Egypt,Nasr City,Cairo,Egypt ,Full Time,Hybrid,Manager,10 - 16 Yrs of Exp,males_preferred,Artificial Intelligence Computer Science Software Development Data Engineer,2 months ago
37,Data Analyst,Confidential,Mohandessin,Giza,Egypt ,Full Time,Hybrid,Entry Level,1 - 2 Yrs of Exp,IT/Software Development,analytical Communication skills Computer Science Data Data Analysis Engineering ETL,2 months ago
38,Roads Remote Inspection Engineer,Citylogix ME,New Cairo,Cairo,Egypt ,Full Time,Hybrid,Entry Level,0 - 4 Yrs of Exp,Engineering - Construction/Civil/Architecture,Roads Transportation engineering Engineering QA Highways,25 days ago
39,Computer Vision Engineer,RTR Software Solutions ,Nasr City,Cairo,Egypt ,Full Time,Hybrid,Experienced,2 - 5 Yrs of Exp,IT/Software Development,Engineering Communication skills Python Computer Vision NLP yolo,1 month ago
40,Big Data Consultant,Exco Egypt,Nasr City,Cairo,Egypt ,Full Time,Hybrid,Manager,10 - 16 Yrs of Exp,males_preferred,Big Data Analysis Data Management Computer Engineering Data Science,2 months ago
41,Full Stack Engineer,USYTech,Heliopolis,Cairo,Egypt ,Full Time,Hybrid,Entry Level,IT/Software Development,Engineering - Telecom/Technology,Information Technology (IT) Software Development Web Development Software Full Stack Development,1 month ago
42,Senior Python Developer,Visionare,Not mentioned,Alexandria,Egypt ,Full Time,Hybrid,Experienced,5 - 20 Yrs of Exp,IT/Software Development,Django Flask RESTful APIs PostgreSQL MySQL Docker Kubernetes,2 months ago
43,Production Internship - Alexandria,Prometeon Tyres Group – Egypt  (Ex-Pirelli Tyres Egypt),Ameria,Alexandria,Egypt ,Full Time,Hybrid,Entry Level,0 - 1 Yrs of Exp,Manufacturing/Production,,2 months ago
44,Senior AWS Administrator,Citylogix ME,New Cairo,Cairo,Egypt ,Full Time,Hybrid,Experienced,7 - 10 Yrs of Exp,IT/Software Development,Information Technology (IT) System Admin System Administration PostgreSQL Docker Node.js,2 months ago
45,Quality Manager,MY WAY,Obour City,Cairo,Egypt ,Full Time,Not Mentioned,Manager,7 - 12 Yrs of Exp,Operations/Management,Quality Assurance Quality Control GMP 5S Lean Manufacturing Methodology ISO 9000,1 month ago
46,R&D Engineer III,Rewaa,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Entry Level,R&D/Science,IT/Software Development,Science Engineering Information Technology (IT) Computer Science Research Pharmacy,11 days ago
47,CAD-2D-Draftsmen,AL-AYUNI Investment and Contracting Company,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Experienced,Engineering - Construction/Civil/Architecture,Creative/Design/Art,engineering design autocad 2d architecture cad construction,6 days ago
48,Senior Data Engineer,Malaa Technologies,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Experienced,IT/Software Development,Engineering - Telecom/Technology,Information Technology (IT) Computer Science Software Engineering Software Development Computer Engineering Mechanical Engineering,26 days ago
49,Senior Data Engineer,NICE ONE | نايس ون,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Experienced,IT/Software Development,Engineering - Telecom/Technology,Information Technology (IT) Computer Science Software Engineering Software Development Computer Engineering Mechanical Engineering,26 days ago
50,Boutique Manager - Riyadh,Nestlé Nespresso SA,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Experienced,Marketing/PR/Advertising,Sales/Retail,sales skills english sales target retail management retail management,6 days ago
51,Government Relations/Administrator- Level 1 - Saudi Arabia,Amentum,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Entry Level,Administration,IT/Software Development,microsoft office information technology (it) computer science english management personnel,18 days ago
52,Web Developer (WordPress),Intoude Foundation Too,Not mentioned,Kuwait City,Kuwait ,Full Time,Not Mentioned,Entry Level,Creative/Design/Art,IT/Software Development,Computer Science Web Development Software Development javaScript Software Engineering CSS,30 days ago
53,Internship - Data Analysis/ Science,Rize | رايز,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Student,IT/Software Development,Marketing/PR/Advertising,Information Technology (IT) Computer Science Startup Engineering Social Media Communication Skills,3 days ago
54,Associate Director - Analytics and Modelling,Moody's Corporation,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Manager,Administration,Engineering - Construction/Civil/Architecture,Management Quality Control Project Management Architecture CPD Civil Engineering,25 days ago
55,Data Engineer Specialist,MSD GCC,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Not specified,Administration,IT/Software Development,Administration Microsoft Office Information Technology (IT) Computer Science Engineering Admin,26 days ago
56,"Solution Consultant, Doha",Denodo,Not mentioned,Kuwait City,Kuwait ,Full Time,Not Mentioned,Experienced,Accounting/Finance,IT/Software Development,Computer Science ERP Engineering Sales Sales Skills Accounting,9 days ago
57,Guest Contact Coordinator,"The Lana, Dubai",Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Experienced,Customer Service/Support,Hospitality/Hotels/Food Services,Customer Care Customer Support Guest Relations Administration Computer Computer Skills,21 days ago
58,"Data Tech Lead, UAE",Jobs via eFinancialCareers,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Experienced,IT/Software Development,Marketing/PR/Advertising,computer science sales marketing software development management sql,28 days ago
59,"Tech Lead, UAE",ION,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Not specified,IT/Software Development,Legal,Computer Science Software Development javaScript Agile Engineering PHP,24 days ago
60,Head of Partnerships - Middle East and Eastern Europe,Tony Blair Institute for Global Change,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Manager,Accounting/Finance,Marketing/PR/Advertising,management finance sales communication skills communication business,4 days ago
61,"Asset & Wealth Management, Information Security Manager, Doha, Associate",Jobs via eFinancialCareers,Not mentioned,Doha,Qatar ,Full Time,Not Mentioned,Experienced,Accounting/Finance,IT/Software Development,Accounting Financial Analysis Financial Management Assets Information Technology (IT) Commerce,1 month ago
62,"A.i. services, automations and data team Member, product development and sales",Pharris Real Estate Enterprises,Not mentioned,Richmond,United States ,Full Time,Hybrid,Experienced,2+ Yrs of Exp,IT/Software Development,,8 days ago
63,Senior AI Engineer,Lumin,Sheikh Zayed,Giza,Egypt ,Full Time,Hybrid,Experienced,3 - 5 Yrs of Exp,IT/Software Development,Computer Vision Machine Learning TensorFlow Python Computer Science Programming PyTorch,10 days ago
64,AI Engineer,Arab AI,Ras Albar,Damietta,Egypt ,Full Time,Hybrid,Experienced,5 - 7 Yrs of Exp,IT/Software Development,Information Technology (IT) Engineering Computer Science,19 days ago
65,AI Data Science and Machine Learning Instructor,CLS Learning Solutions,Dokki,Giza,Egypt ,Full Time,Hybrid,Experienced,3 - 15 Yrs of Exp,Training/Instructor,Deep Learning Data Science Python Natural Language Processing Neural Networks Training Teaching,20 days ago
66,AI Engineer,Paxerahealth Corp,Not mentioned,Cairo,Egypt ,Full Time,Hybrid,Experienced,3 - 5 Yrs of Exp,IT/Software Development,AI Computer Science Information Technology (IT) Machine Learning Programming Frameworks Artificial Intelligence,1 month ago
67,AI Specialist,LINK Development,Not mentioned,Cairo,Egypt ,Full Time,Hybrid,Entry Level,1 - 5 Yrs of Exp,IT/Software Development,BI Software Engineering SQL Software Development Power BI SSRS SQL Server,1 month ago
68,Initial R&D followed by development of an AI system for creating digital business cards,Creatio,Not mentioned,Sydney,Australia ,Full Time,Hybrid,Experienced,2+ Yrs of Exp,IT/Software Development,Machine Vision Artificial Intelligence (AI) Design,2 months ago
69,AI Innovation,Nano Shield,Maadi,Cairo,Egypt ,Full Time,Hybrid,Entry Level,1 - 3 Yrs of Exp,IT/Software Development,Innovation Innovative research,2 months ago
70,AI and Robotics Instructor,MICA,Haram,Giza,Egypt ,Full Time,Hybrid,Entry Level,Education/Teaching,Training/Instructor,Engineering Python Robotics Instructor Education Teaching,2 months ago
71,AI Intern,Barkotel,Sheraton,Cairo,Egypt ,Full Time,Hybrid,Entry Level,0 - 1 Yrs of Exp,IT/Software Development,Artificial Intelligence Computer Science Software Engineering Machine Learning Computer Vision Programming,2 months ago
72,Social Media Marketing Specialist,Confidential,Not mentioned,Mubarak Al-Kabeer,Kuwait ,Full Time,Hybrid,Experienced,3+ Yrs of Exp,Marketing/PR/Advertising,designing E-Marketing Marketing media Social Media Social media monitoring AI,4 days ago
73,Office Manager - CEO,Confidential,New Cairo,Cairo,Egypt ,Full Time,Hybrid,Manager,5 - 8 Yrs of Exp,Administration,business Business Administration Management Office management Writing Secretary Administration,3 hours ago
74,B2B Telesales Account Manager,Confidential,Maadi,Cairo,Egypt ,Full Time,Hybrid,Experienced,5+ Yrs of Exp,Business Development,Communication skills B2B CRM English Management Marketing Microsoft Office,6 days ago
75,Graphic Designer Supervisor,Storia,Not mentioned,Alexandria,Egypt ,Full Time,Hybrid,Manager,2 - 3 Yrs of Exp,Creative/Design/Art,AI Adobe illustrator Adobe Photoshop Design Fine Arts Graphic Arts,10 days ago
76,"English Speaking Marketing & Sales Manager - Ai, business Data, FB and Google advertising",Pharris Real Estate Enterprises,Not mentioned,Richmond,United States ,Full Time,Hybrid,Manager,3+ Yrs of Exp,Administration,Advertising Sales Manager,2 months ago
77,Data Scientist,BBI-Consultancy,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,4+ Yrs of Exp,IT/Software Development,Data Science Data data scientist Information Technology (IT) Mathematics Science Python,27 days ago
78,Digital Marketing Intern,visual and ai solutions (VAIS) ,Smart Village,Giza,Egypt ,Full Time,On-site,Student,Marketing/PR/Advertising,Digital,English Marketing SEO Social Media digital marketing Communication,7 days ago
79,Commercial Manager,visual and ai solutions (VAIS) ,Smart Village,Giza,Egypt ,Full Time,On-site,Manager,4 - 8 Yrs of Exp,Business Development,Commercial Sales Director sales skills B2B Business Development business,12 days ago
80,AI Engineer - Saudi Arabia,Yeah! Global,Not mentioned,Riyadh,Saudi Arabia ,Full Time,On-site,Entry Level,IT/Software Development,Analyst/Research,Information Technology (IT) Computer Science Engineering Python Software Engineering NLP,13 days ago
81,AI Engineer - UAE,Yeah! Global,Not mentioned,Dubai,United Arab Emirates ,Full Time,On-site,Entry Level,IT/Software Development,Analyst/Research,Information Technology (IT) Computer Science Engineering Python Software Engineering NLP,13 days ago
82,Coders - AI Training [Remote],Braintrust,Not mentioned,Riyadh,Saudi Arabia ,Full Time,On-site,Entry Level,Administration,IT/Software Development,computer science javascript engineering html coding php,10 days ago
83,Second Level Technical Support Engineer,3D Diagnostix,Maadi,Cairo,Egypt ,Full Time,On-site,Entry Level,0 - 5 Yrs of Exp,Installation/Maintenance/Repair,HTML PHP javaScript Information Technology (IT) Computer Science Engineering Troubleshooting,1 month ago
84,Python Developer,coto,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 6 Yrs of Exp,IT/Software Development,AI Data Processing Computer Science Docker Engineering Information Technology (IT) MongoDB,2 months ago
85,Graduate Internship: Enterprise Software Engineering,eT3,New Cairo,Cairo,Egypt ,Full Time,On-site,Entry Level,0 - 1 Yrs of Exp,IT/Software Development,Software Development Software Engineering Computer Engineering Backend Development Frontend Development 	Software Testing Data Engineering,2 months ago
86,Tech Lead - Java,Cognizant,Not mentioned,Dubai,United Arab Emirates ,Full Time,On-site,Experienced,IT/Software Development,Operations/Management,Computer Science Software Development javaScript Agile Engineering PHP,3 days ago
87,Lead Tech Safety,Kent,Not mentioned,Dubai,United Arab Emirates ,Full Time,On-site,Experienced,IT/Software Development,Quality,Computer Science Engineering Software Development javaScript Agile PHP,20 days ago
88,"Tech Lead, UAE",ION,Not mentioned,Dubai,United Arab Emirates ,Full Time,On-site,Not specified,IT/Software Development,Legal,Computer Science Software Development javaScript Agile Engineering PHP,24 days ago
89,Media Buyer,High Art,Sheraton,Cairo,Egypt ,Full Time,On-site,Experienced,4 - 6 Yrs of Exp,Marketing/PR/Advertising,Digital Marketing digital media Management Marketing media Social Media digital marketing,27 days ago
90,Part-Time Digital Marketer,HiddenAI,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,Marketing/PR/Advertising,Marketing Social Media digital marketing E-Marketing media,1 month ago
91,Senior digital learning developer (LMS),alfanar,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,6 - 8 Yrs of Exp,Other,digital learning digital learning solution digital learning solutions digital learning products Instructional Design,25 days ago
92,Content Creator,Confidential,Maadi,Cairo,Egypt ,Full Time,On-site,Experienced,1 - 2 Yrs of Exp,Marketing/PR/Advertising,Tiktok Snapchat Adobe Photoshop creator,15 days ago
93,Java Instructor,MICA,Hadayek Alahram,Giza,Egypt ,Full Time,On-site,Entry Level,0 - 5 Yrs of Exp,IT/Software Development,Java SQL Oracle Computer Science Java Software Development Database Teaching,5 days ago
94,Videographer/ Marketing specialist,Boulevard Misr,New Cairo,Cairo,Egypt ,Full Time,On-site,Entry Level,Creative/Design/Art,Marketing/PR/Advertising,marketing specialist Marketing Social Media media specialist Videographer,26 days ago
95,Marketing Executive,Rology,Maadi,Cairo,Egypt ,Full Time,On-site,Experienced,4+ Yrs of Exp,females_preferred,Content Creation Content Development Content Writing Copywriting SEO Google Ads Digital Marketing Digital Marketing Strategy,4 days ago
96,Data Annotation Team Lead,Eg Insurtech,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,IT/Software Development,English Skills Software Engineering #data Artificial Intelligence,3 days ago
97,Sales Manager,RDI,Dokki,Giza,Egypt ,Full Time,On-site,Experienced,5 - 7 Yrs of Exp,IT/Software Development,B2B business Sales Sales Target Software Sales sales skills English,10 hours ago
98,System Analyst,Equivator,Not mentioned,Riyadh,Saudi Arabia ,Full Time,On-site,Experienced,5 - 10 Yrs of Exp,Analyst/Research,Project Management Solution Development Communication ConImprovement,27 days ago
99,Junior Fullstack Web Developer,Blue202,Downtown,Cairo,Egypt ,Full Time,On-site,Entry Level,1+ Yrs of Exp,IT/Software Development,JavaScript Information Technology (IT) Web Development Software Development Computer Science React,28 days ago
100,Senior E-learning content developer,alfanar,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,6 - 8 Yrs of Exp,Other,instructional design e-learning development didgital learning digital learning authoring LDC web management,25 days ago
101,Business Development Specialist,Venturify,Dokki,Giza,Egypt ,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,Business Development,Market Research Business Administration Sales sales skills Management Development,1 month ago
102,3D Art Director,Influence Communication,Maadi,Cairo,Egypt ,Full Time,On-site,Senior Management,5+ Yrs of Exp,Marketing/PR/Advertising,Adobe Photoshop Arts Creative Graphic Design photoshop Design,27 days ago
103,Senior Graphic Designer / Video editor ( Full Time ) - Nasr City,Confidential,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 3 Yrs of Exp,Creative/Design/Art,Adobe illustrator Adobe Photoshop After Effects Design Creative Graphic Graphic Design,1 month ago
104,Computer Vision Engineer,RTR Software Solutions ,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,IT/Software Development,Engineering Communication skills Python Computer Vision NLP yolo,1 month ago
105,Full-Stack Python Team Leader (Django/React),RDI,Dokki,Giza,Egypt ,Full Time,On-site,Experienced,5 - 8 Yrs of Exp,IT/Software Development,Django Full Stack Development Information Technology (IT) Computer Science RESTful API Microservice Architecture Database Systems,26 days ago
106,Full-Stack Team Leader (Django/React),RDI,Dokki,Giza,Egypt ,Full Time,On-site,Experienced,5 - 8 Yrs of Exp,IT/Software Development,Django Full Stack Development Information Technology (IT) Computer Science RESTful API Microservice Architecture Database Systems,27 days ago
107,Data Scientist,Wakeb Data,Mohandessin,Giza,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,IT/Software Development,data scientist Python,27 days ago
108,SEO/SEM Senior Specialist,waffarha.com,Downtown,Cairo,Egypt ,Full Time,On-site,Experienced,2 - 4 Yrs of Exp,Marketing/PR/Advertising,Marketing Analytics English Google Analytics,13 days ago
109,.Net Web Developer,Future Internet,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,4 - 10 Yrs of Exp,males_only,.Net ASP.Net JavaScript MVC SQL CSS HTML Agile,1 month ago
110,Business Development Executive,Zimozi Solutions Pvt Ltd,Not mentioned,Noida,India ,Full Time,On-site,Entry Level,0 - 2 Yrs of Exp,Business Development,Business Administration Business Development Communication Management Marketing sales skills,1 month ago
111,Java Database Instructor,MICA,Haram,Giza,Egypt ,Full Time,On-site,Entry Level,0 - 3 Yrs of Exp,IT/Software Development,Java Database Engineering Information Technology (IT) OOP Computer Science computer,2 months ago
112,Machine Learning Engineer,Citylogix ME,New Cairo,Cairo,Egypt ,Full Time,On-site,Experienced,7 - 11 Yrs of Exp,IT/Software Development,Computer Science Programming Python TensorFlow PyTorch Data visualization,26 days ago
113,Senior Backend Developer,Pioneers Now,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,5+ Yrs of Exp,Business Development,backend Computer Science Design Engineering Information Technology (IT) Python Software Engineering,1 month ago
114,Customer Success Manager,Myalice,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,2 - 4 Yrs of Exp,Customer Service/Support,CRM Customer Satisfaction Communication SAAS English Customer Service Customer Care,25 days ago
115,Secretary/Receptionist,Confidential,Badr City,Cairo,Egypt ,Full Time,On-site,Experienced,2 - 8 Yrs of Exp,males_only,Secretary Office Management Admin Administration Microsoft Word Microsoft Excel Front Office Microsoft Office,5 days ago
116,Digital Marketing Expert,decorum,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,2 - 4 Yrs of Exp,Business Development,digital marketing Google Analytics Marketing Campaigns Social Media SEO,1 month ago
117,Senior python backend developer.,Pioneers Now,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,5 - 8 Yrs of Exp,males_only,Marketing/PR/Advertising backend Software Software Development Web Development,2 months ago
118,Software Testing Team Lead,3i Vision LTD.,Hadayek Alahram,Giza,Egypt ,Full Time,On-site,Experienced,5 - 7 Yrs of Exp,IT/Software Development,Agile Azure API,2 months ago
119,DevOps Engineer,34ML,Heliopolis,Cairo,Egypt ,Full Time,On-site,Entry Level,0 - 3 Yrs of Exp,IT/Software Development,Information Technology (IT) MEAN Stack Mobile Development Objective-C Software Design Web Development Web Design,2 months ago
120,Software developer,Confidential,Not mentioned,Vienna,Austria ,Full Time,On-site,Experienced,1 - 20 Yrs of Exp,IT/Software Development,developer Information Technology (IT) software developer Software Engineering Software Development Software Computer Science,14 hours ago
121,Customer Service Operation Manager | French Speaker,Intouch CX ,Maadi,Cairo,Egypt ,Full Time,On-site,Manager,3 - 6 Yrs of Exp,Customer Service/Support,french Leadership,1 month ago
122,Digital Marketing Specialist,ataya,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Marketing/PR/Advertising,Digital Marketing Marketing Campaigns digital marketing E-Marketing media SEM SEO,1 month ago
123,Software QA Engineer,Ejada ,Heliopolis,Cairo,Egypt ,Full Time,On-site,Experienced,4 - 6 Yrs of Exp,IT/Software Development,Quality Assurance Software Development Software Java Git Testing,1 month ago
124,Software developer,leap21,Aswan,Aswan,Egypt ,Full Time,On-site,Entry Level,Business Development,IT/Software Development,Information Technology (IT) Computer Science,24 days ago
125,Application Manager,Universities of Canada in Egypt,New Capital,Cairo,Egypt ,Full Time,On-site,Manager,7 - 10 Yrs of Exp,IT/Software Development,Database CRM IT Management Software Engineering application,20 days ago
